ntwk,state,site_name,ts,start,lat,lon,elev,county,huc
SNTLÊ,AK,Alexander Lake (1267),,2014-August,61.75,-150.89,160,Matanuska-susitna,Headwaters Alexander Creek (190205051106)
SNTLÊ,AK,American Creek (1189),,2011-August,64.79,-141.23,1050,Southeast Fairbanks,American Creek (190705050504)
SNTLÊ,AK,Anchor River Divide (1062),,1980-October,59.86,-151.32,1653,Kenai Peninsula,Headwaters Anchor River (190203010701)
SNTLÊ,AK,Anchorage Hillside (1070),,2004-October,61.11,-149.67,2080,Anchorage,South Fork Campbell Creek (190204010601)
SNTLÊ,AK,Aniak (2065),,2002-July,61.58,-159.58,80,Bethel,Aniak Slough-Kuskokwim River (190305020504)
SNTLÊ,AK,Atigun Pass (957),,1981-October,68.13,-149.48,4800,North Slope,Chandalar Shelf (190802010102)
SNTLÊ,AK,Bettles Field (1182),,1980-October,66.92,-151.53,640,Yukon-koyukuk,Jack White Creek-Koyukuk River (190901012604)
SNTLÊ,AK,Chena Lakes (1260),,2020-August,64.76,-147.22,500,Fairbanks North Star,190803060901 (190803060901)
SNTLÊ,AK,Chisana (1093),,2007-October,62.07,-142.05,3320,Valdez-cordova,Red Hill Creek-Chisana River (190803010305)
SNTLÊ,AK,Coldfoot (958),,1994-October,67.25,-150.18,1040,Yukon-koyukuk,Slate Creek (190901010604)
SNTLÊ,AK,Cooper Lake (959),,1981-October,60.39,-149.69,1200,Kenai Peninsula,Kenai Lake (190203021205)
SNTLÊ,AK,Creamers Field (1302),,2021-August,64.87,-147.74,440,Fairbanks North Star,Chena River (190803060907)
SNTLÊ,AK,Dahl Creek (1303),,2021-September,66.95,-156.9,260,Northwest Arctic,Dahl Creek (190503021508)
SNTLÊ,AK,Eagle Summit (960),,1997-October,65.49,-145.41,3650,Yukon-koyukuk,Porcupine Creek (190804010801)
SNTLÊ,AK,East Palmer (953),,2018-July,61.6,-149.1,230,Matanuska-susitna,Outlet Matanuska River (190204020709)
SNTLÊ,AK,Esther Island (1071),,2004-October,60.8,-148.09,50,Valdez-cordova,Esther Lake-Frontal Prince William Sound (190202011605)
SNTLÊ,AK,Exit Glacier (1092),,2011-July,60.19,-149.62,400,Kenai Peninsula,Oulet Resurrection River (190202020508)
SNTLÊ,AK,Fielding Lake (1268),,2014-August,63.2,-145.63,3000,Valdez-cordova,Fielding Lake (190803040302)
SNTLÊ,AK,Flower Mountain (1285),,2017-August,59.4,-136.28,2510,Haines,Porcupine Creek (190103031206)
SNTLÊ,AK,Fort Yukon (961),,1992-October,66.57,-145.25,430,Yukon-koyukuk,Seventeen Mile Slough-Yukon River (190705062100)
SNTLÊ,AK,Frostbite Bottom (641),,2019-February,61.75,-149.27,2700,Matanuska-susitna,Fishhook Creek-Little Susitna River (190205051202)
SNTLÊ,AK,Galena AK (429),,2018-August,64.7,-156.71,410,Yukon-koyukuk,Louden Slough-Yukon River (190902051104)
SNTLÊ,AK,Gobblers Knob (962),,1996-October,66.75,-150.67,2030,Yukon-koyukuk,Outlet Prospect Creek (190901020403)
SNTLÊ,AK,Grandview (956),,1982-October,60.61,-149.06,1100,Kenai Peninsula,Headwaters Trail Creek (190203021001)
SNTLÊ,AK,Granite Crk (963),,1985-November,63.94,-145.4,1240,Southeast Fairbanks,Granite Creek (190803031306)
SNTLÊ,AK,Grouse Creek Divide (964),,1988-October,60.26,-149.34,700,Kenai Peninsula,South Fork Snow River (190203020902)
SNTLÊ,AK,Gulkana River (2222),,2018-June,62.41,-145.38,1830,Valdez-cordova,Boulder Lake-Gulkana River (190201020604)
SNTLÊ,AK,Heen Latinee (1270),,2015-October,58.7,-134.86,2065,Juneau,Davies Creek (190103010401)
SNTLÊ,AK,Hoonah (1318),,2023-October,58.12,-135.41,1550,Hoonah-angoon,Port Fredrick-Frontal Icy Strait (190102110906)
SNTLÊ,AK,Hozatka Lake (2210),,2014-August,65.2,-156.63,206,Yukon-koyukuk,Hozatka Lake (190901091201)
SNTLÊ,AK,Imnaviat Creek (968),,1980-October,68.62,-149.3,3050,North Slope,Headwaters Toolik River (190604010702)
SNTLÊ,AK,Independence Mine (1091),,1997-October,61.79,-149.28,3550,Matanuska-susitna,Fishhook Creek-Little Susitna River (190205051202)
SNTLÊ,AK,Indian Pass (946),,1978-October,61.07,-149.48,2350,Anchorage,Headwaters Ship Creek (190204010402)
SNTLÊ,AK,Jack Wade Jct (1275),,2015-October,64.15,-141.33,3585,Southeast Fairbanks,Kal Creek (190705022204)
SNTLÊ,AK,Johnsons Camp (1036),,2000-October,64.56,-164.29,25,Nome,Pine Creek (190501042003)
SNTLÊ,AK,Kantishna (1072),,2004-October,63.54,-150.99,1550,Denali,Moose Creek (190803101805)
SNTLÊ,AK,Kelly Station (1175),,1991-October,67.93,-162.28,310,Northwest Arctic,190504030802-Noatak River (190504030802)
SNTLÊ,AK,Kenai Moose Pens (966),,1982-October,60.73,-150.48,300,Kenai Peninsula,Upper Moose River (190203021601)
SNTLÊ,AK,Little Chena Ridge (947),,1980-October,65.12,-146.73,2000,Fairbanks North Star,190803060706-Little Chena River (190803060706)
SNTLÊ,AK,Long Lake (1001),,1966-October,58.19,-133.83,850,Juneau,190102060505-Dawes Glacier (190102060505)
SNTLÊ,AK,Lower Kachemak Creek (1265),,2015-June,59.74,-150.69,1915,Kenai Peninsula,Bradley Lake (190203011101)
SNTLÊ,AK,May Creek (1096),,2006-October,61.35,-142.71,1610,Valdez-cordova,Lower Young Creek (190201031603)
SNTLÊ,AK,McGrath (785),,2019-August,62.95,-155.61,340,Yukon-koyukuk,Town of McGrath-Kuskokwim River (190304050502)
SNTLÊ,AK,Mcneil Canyon (1003),,1985-October,59.74,-151.25,1320,Kenai Peninsula,Swift Creek-Frontal Kachemak Bay (190203010806)
SNTLÊ,AK,Mcneil River SGS (1191),,2012-June,59.08,-154.28,140,Kenai Peninsula,Mikfik Creek-Frontal Kamishak Bay (190206021207)
SNTLÊ,AK,Middle Fork Bradley (1064),,1989-October,59.78,-150.76,2300,Kenai Peninsula,Bradley River (190203011102)
SNTLÊ,AK,Monahan Flat (1094),,1983-October,63.31,-147.65,2710,Matanuska-susitna,West Fork Susitna River (190205010304)
SNTLÊ,AK,Monument Creek (949),,1979-October,65.08,-145.87,1850,Fairbanks North Star,Monument Creek (190803060402)
SNTLÊ,AK,Moore Creek Bridge (1176),,1989-October,59.59,-135.21,2250,Skagway,West Creek (190103030203)
SNTLÊ,AK,Moraine (1035),,2001-October,61.38,-149,2100,Anchorage,Eklutna Lake (190204010103)
SNTLÊ,AK,Mt. Alyeska (1103),,1971-October,60.96,-149.09,1540,Anchorage,Glacier Creek (190203020702)
SNTLÊ,AK,Mt. Eyak (1073),,2004-October,60.55,-145.75,1405,Valdez-cordova,Orca Inlet-Frontal Prince William Sound (190202010200)
SNTLÊ,AK,Mt. Ryan (948),,1980-October,65.25,-146.15,2800,Fairbanks North Star,Headwaters West Fork Chena River (190803060404)
SNTLÊ,AK,Munson Ridge (950),,1979-October,64.85,-146.21,3100,Fairbanks North Star,Rock Creek-Chena River (190803060602)
SNTLÊ,AK,Nenana (2081),,2002-October,64.69,-148.91,415,Yukon-koyukuk,Little Goldstream Creek (190803090803)
SNTLÊ,AK,Nuka Glacier (1037),,1989-October,59.7,-150.71,1250,Kenai Peninsula,Bradley Lake (190203011101)
SNTLÊ,AK,Old Independence Mine (1315),,1997-October,61.79,-149.28,3550,Matanuska-susitna,Fishhook Creek-Little Susitna River (190205051202)
SNTLÊ,AK,Paradise Hill (1301),,2021-July,62.83,-141.41,2010,Southeast Fairbanks,190803010807-Black Hills (190803010807)
SNTLÊ,AK,Pargon Creek (986),,1999-October,64.99,-163.1,100,Nome,Slate Creek-Fish River (190501040905)
SNTLÊ,AK,Port Graham (987),,1999-October,59.35,-151.85,300,Kenai Peninsula,Port Graham-Frontal Cook Inlet (190203011208)
SNTLÊ,AK,Prudhoe Bay (1177),,2002-October,70.27,-148.57,30,North Slope,190604010102 (190604010102)
SNTLÊ,AK,Rocky Point (973),,1999-September,64.53,-163.42,250,Nome,Golovnin Lagoon-Frontal Golovnin Bay (190501041103)
SNTLÊ,AK,Sagwon (1183),,1982-October,69.42,-148.69,1000,North Slope,190604010905 (190604010905)
SNTLÊ,AK,Spring Creek (2044),,2018-June,61.66,-149.13,580,Matanuska-susitna,Outlet Matanuska River (190204020709)
SNTLÊ,AK,Sugarloaf Mtn (1095),,2006-October,61.08,-146.3,550,Valdez-cordova,Solomon Gulch (190202011101)
SNTLÊ,AK,Summit Creek (955),,1988-October,60.62,-149.53,1400,Kenai Peninsula,Headwaters Canyon Creek (190203020401)
SNTLÊ,AK,Susitna Valley High (967),,1986-October,62.13,-150.04,375,Matanuska-susitna,Little Montana Creek-Montana Creek (190205050105)
SNTLÊ,AK,Telaquana Lake (1266),,2014-July,60.98,-153.92,1275,Bethel,Upper Telaquana River (190304052303)
SNTLÊ,AK,Teuchet Creek (951),,1980-October,64.95,-145.52,1640,Fairbanks North Star,Teuchet Creek (190803060301)
SNTLÊ,AK,Tok (2080),,2002-October,63.35,-142.98,1630,Southeast Fairbanks,Tanacross (190803020903)
SNTLÊ,AK,Tokositna Valley (1089),,2005-October,62.63,-150.78,850,Matanuska-susitna,Upper Tokositna River (190205020903)
SNTLÊ,AK,Turnagain Pass (954),,1981-October,60.78,-149.18,1880,Kenai Peninsula,Granite Creek (190203020406)
SNTLÊ,AK,Upper Chena (952),,1983-October,65.1,-144.93,2850,Fairbanks North Star,Headwaters Middle Fork Chena River (190803060102)
SNTLÊ,AK,Upper Nome Creek (1090),,2005-October,65.37,-146.59,2520,Yukon-koyukuk,Sumner Creek-Nome Creek (190804020304)
SNTLÊ,AK,Upper Tsaina River (1055),,2002-October,61.19,-145.65,1750,Valdez-cordova,Middle Tsina River (190201040203)