STATION_NUMBER,PROVIDER,MAJOR_DRAINAGE_BASIN,MODEL_LATITUDE,MODEL_LONGITUDE
05AA008,AEP,Nelson River,49.6066,-114.4093
05AA022,AEP,Nelson River,49.4897,-114.1508
05AA024,AEP,Nelson River,49.5563,-113.8259
05AA035,AEP,Nelson River,49.7315,-114.0841
05AB021,AEP,Nelson River,50.0231,-113.7095
05AC003,AEP,Nelson River,50.1397,-113.1178
05AD003,AEP,Nelson River,49.1147,-113.8352
05AD005,AEP,Nelson River,49.1061,-113.6929
05AD007,AEP,Nelson River,49.7146,-112.8678
05AD010,AEP,Nelson River,49.2977,-113.7931
05AD028,AEP,Nelson River,49.4314,-113.4843
05AD041,AEP,Nelson River,49.3561,-113.4841
05AE002,AEP,Nelson River,49.2061,-113.2935
05AE006,AEP,Nelson River,49.5732,-112.8427
05AG006,AEP,Nelson River,49.9224,-111.7926
05AJ001,AEP,Nelson River,50.0481,-110.6758
05BA002,AEP,Nelson River,51.4314,-116.1761
05BB001,AEP,Nelson River,51.1731,-115.5675
05BC001,AEP,Nelson River,51.1563,-115.5429
05BG006,AEP,Nelson River,51.2897,-114.8518
05BG010,AEP,Nelson River,51.2721,-114.9264
05BH004,AEP,Nelson River,51.0562,-114.0509
05BH015,AEP,Nelson River,51.1303,-114.5684
05BJ001,AEP,Nelson River,51.0148,-114.0846
05BJ004,AEP,Nelson River,50.9478,-114.5762
05BJ010,AEP,Nelson River,50.9978,-114.1675
05BL004,AEP,Nelson River,50.5976,-113.8757
05BL012,AEP,Nelson River,50.7232,-113.9761
05BL014,AEP,Nelson River,50.6896,-114.2427
05BL022,AEP,Nelson River,50.2813,-114.5929
05BL024,AEP,Nelson River,50.7894,-113.8175
05BN012,AEP,Nelson River,50.0481,-111.5931
05CA009,AEP,Nelson River,51.6479,-115.0179
05CB001,AEP,Nelson River,52.0311,-114.1427
05CB004,AEP,Nelson River,52.0896,-114.4763
05CB007,AEP,Nelson River,52.0561,-114.2098
05CC001,AEP,Nelson River,52.3562,-113.7928
05CC002,AEP,Nelson River,52.2814,-113.8092
05CC007,AEP,Nelson River,52.3228,-114.3432
05CE001,AEP,Nelson River,51.4734,-112.7093
05CK004,AEP,Nelson River,50.9147,-110.3008
05DA009,AEP,Nelson River,52.0059,-116.4681
05DB002,AEP,Nelson River,52.2809,-114.9262
05DB006,AEP,Nelson River,52.2561,-114.8595
05DC001,AEP,Nelson River,52.3813,-114.9345
05DD009,AEP,Nelson River,52.8224,-115.5178
05DF001,AEP,Nelson River,53.5393,-113.4844
05EA005,AEP,Nelson River,53.6642,-113.7596
05EF001,AEP,Nelson River,53.5312,-109.6179
05FA001,AEP,Nelson River,52.6641,-113.5845
05FA011,AEP,Nelson River,52.9556,-112.9597
05FE004,AEP,Nelson River,52.8556,-110.0181
05AC012,ECCC,Nelson River,50.1714,-112.7203
05GG001,ECCC,Nelson River,53.2059,-105.7676
05HD036,ECCC,Nelson River,49.8474,-108.4768
05HD039,ECCC,Nelson River,50.4981,-107.6598
05HG001,ECCC,Nelson River,52.1394,-106.6432
05JE006,ECCC,Nelson River,50.3975,-105.4013
05JF001,ECCC,Nelson River,50.6558,-104.8677
05JF005,ECCC,Nelson River,50.6393,-104.9013
05JK002,ECCC,Nelson River,50.7063,-104.7936
05JK007,ECCC,Nelson River,50.7888,-104.2844
05JM001,ECCC,Nelson River,50.4974,-101.5597
05KD003,ECCC,Nelson River,53.7062,-103.3013
05KE010,ECCC,Nelson River,53.8645,-104.6186
05KH007,ECCC,Nelson River,53.6222,-102.1012
05KJ001,ECCC,Nelson River,53.8389,-101.2094
05LC001,ECCC,Nelson River,52.8643,-102.1927
05LH005,ECCC,Nelson River,51.8557,-99.5431
05LJ025,ECCC,Nelson River,51.4559,-99.9681
05LL002,ECCC,Nelson River,50.1308,-98.5848
05LL014,ECCC,Nelson River,49.9061,-99.2095
05LM001,ECCC,Nelson River,51.5895,-98.7097
05LM006,ECCC,Nelson River,51.9971,-98.3179
05MD004,ECCC,Nelson River,51.5644,-101.9181
05MD005,ECCC,Nelson River,50.9642,-101.3186
05ME001,ECCC,Nelson River,50.8149,-101.4268
05MF001,ECCC,Nelson River,50.3644,-99.9101
05MH001,ECCC,Nelson River,49.8641,-99.9601
05MH005,ECCC,Nelson River,49.6975,-98.8853
05MJ001,ECCC,Nelson River,49.8725,-97.4018
05NA003,ECCC,Nelson River,49.0059,-103.3515
05NB001,ECCC,Nelson River,49.1057,-103.0098
05NB021,ECCC,Nelson River,49.0393,-102.8431
05NB036,ECCC,Nelson River,49.1556,-103.0849
05ND010,ECCC,Nelson River,49.5308,-102.1765
05NG001,ECCC,Nelson River,49.5899,-99.6765
05NG024,ECCC,Nelson River,49.8474,-101.4014
05OB007,ECCC,Nelson River,49.0305,-98.2764
05OB016,ECCC,Nelson River,49.0226,-98.6015
05OB021,ECCC,Nelson River,48.9977,-98.4686
05OC001,ECCC,Nelson River,49.0059,-97.2184
05OC012,ECCC,Nelson River,49.5639,-97.1768
05OG001,ECCC,Nelson River,49.6811,-97.4264
05PA006,ECCC,Nelson River,48.3812,-92.1679
05PB014,ECCC,Nelson River,48.8473,-92.7182
05PB018,ECCC,Nelson River,48.7559,-91.5851
05PG001,ECCC,Nelson River,50.0391,-95.5099
05PH003,ECCC,Nelson River,49.9391,-95.9516
05QA004,ECCC,Nelson River,50.1721,-91.5427
05QC001,ECCC,Nelson River,50.8809,-93.4846
05QE008,ECCC,Nelson River,50.5145,-93.2601
05QE009,ECCC,Nelson River,50.3562,-94.4681
05QE012,ECCC,Nelson River,50.6893,-93.9764
05RA001,ECCC,Nelson River,51.1058,-96.2841
05RB003,ECCC,Nelson River,51.7057,-96.6095
05RC001,ECCC,Nelson River,51.8142,-93.5184
05TD001,ECCC,Nelson River,55.7393,-97.0014
05TE002,ECCC,Nelson River,55.4977,-99.2185
05TF002,ECCC,Nelson River,55.9311,-98.8848
05TG001,ECCC,Nelson River,55.7475,-97.8932
05TG002,ECCC,Nelson River,55.4891,-98.1934
05TG003,ECCC,Nelson River,55.9977,-97.3603
05TG006,ECCC,Nelson River,55.9142,-98.4848
05UF004,ECCC,Nelson River,56.3389,-94.6929
05UG001,ECCC,Nelson River,56.5141,-94.2181
05UH001,ECCC,Nelson River,56.6808,-93.6346
05UH002,ECCC,Nelson River,57.0223,-93.4521
05BA001,ECCC,BOW RIVER AT LAKE LOUISE,51.4286,-116.188942
05BH005,ECCC,BOW RIVER NEAR COCHRANE,51.17374,-114.466431
05BH013,ECCC,JUMPINGPOUND CREEK NEAR COX HILL,51.002331,-114.938141
05BK001,ECCC,FISH CREEK NEAR PRIDDIS,50.885471,-114.326843
05BL007,ECCC,STIMSON CREEK NEAR PEKISKO,50.430119,-114.167
05BL013,ECCC,THREEPOINT CREEK NEAR MILLARVILLE,50.77113,-114.27874
05BL019,ECCC,HIGHWOOD RIVER AT DIEBEL'S RANCH,50.40506,-114.500717
05BL023,ECCC,PEKISKO CREEK NEAR LONGVIEW,50.474091,-114.207298
05BL027,ECCC,TRAP CREEK NEAR LONGVIEW,50.477322,-114.426323
